Video,Measure,t,p,Cohens_d,Dep_Mean,Dep_SD,NonDep_Mean,NonDep_SD,Bonferroni_sig,Significant_uncorrected
V1: Abandoned Buildings,Mean Speed (Total),-0.23669346760357754,0.8163563284136927,-0.0790373848436261,38.3869571135808,8.645813155900507,39.25436948237298,11.435134275793247,,
V1: Abandoned Buildings,Mean Yaw Speed,-0.6589541374948558,0.518851096433382,-0.2000821594105989,29.773088229327435,5.986055635130501,31.544986709254946,9.383176373939243,,
V1: Abandoned Buildings,SD Speed (Total),-0.8092904273015059,0.4316216724015951,-0.26587441903041387,36.05085019544357,9.854814400851337,39.46107002288583,13.406590609280038,,
V1: Abandoned Buildings,Yaw Range,0.25527218219460396,0.8009597192742385,0.07047363292029254,356.09945,10.621765851710895,354.77910937499996,20.119482551102124,,
V1: Abandoned Buildings,Total Angular Range,-0.2170968806374811,0.8306658813935921,-0.0650201158787771,491.28918175,35.11465600795591,494.747958696875,56.48283036166314,,
V2: Beach,Mean Speed (Total),1.2231540190092658,0.23939199561494395,0.38401319228339537,35.54736097998655,6.5037290583427385,32.05330062981655,9.588068363264924,,
V2: Beach,Mean Yaw Speed,1.1179975607783854,0.2804264866830065,0.35069523710740264,30.31638362667965,5.5349424204155175,27.596939593630168,8.172613349664683,,
V2: Beach,SD Speed (Total),0.4376753859392777,0.6699191929932435,0.16751049701932086,33.37307550172094,9.255139872455118,31.754248010596008,9.75399548787527,,
V2: Beach,Yaw Range,0.3497828307802319,0.7300031355579976,0.09728534012545798,347.42533750000007,26.65943607714256,342.9179628125,49.707526278674386,,
V2: Beach,Total Angular Range,1.763817495256419,0.10364819475719061,0.6517358532099523,489.39167,64.90056790119509,443.04228842187496,72.44670902652628,,
V3: Campus,Mean Speed (Total),-0.6431674899735663,0.5322157023033606,-0.23467996569289598,32.89178536551014,9.471506383858005,35.37065939830195,10.793944286370014,,
V3: Campus,Mean Yaw Speed,-1.0098052659756167,0.33122706704757987,-0.3524498204964606,27.07205545932046,7.918766472301892,30.388806876537895,9.71577163006612,,
V3: Campus,SD Speed (Total),-1.104142515795132,0.29455596952836033,-0.45251175685487827,30.398160514402946,10.54902732182555,34.95102624044131,9.947884317320373,,
V3: Campus,Yaw Range,0.403494180621545,0.6926946032121527,0.13418662440159948,342.88630750000004,46.89483022075667,334.84863874999996,62.462058345562625,,
V3: Campus,Total Angular Range,0.15614385208158071,0.8781560631030271,0.0519516081104808,444.42525212499993,63.58882294564894,440.2086124375,84.62984135029961,,
V4: Horror (Nun),Mean Speed (Total),1.0730644978921777,0.30294979236520275,0.3741448562312985,27.488266283401952,9.318981339529627,23.338565602635523,11.453443125449626,,
V4: Horror (Nun),Mean Yaw Speed,0.8481183240903695,0.4110635756540286,0.2864000798968623,19.82810725976785,6.677201972043241,17.441513321334433,8.663291871546933,,
V4: Horror (Nun),SD Speed (Total),-0.5249889592304375,0.6067374361744591,-0.1624627635772793,30.61126187346772,8.636139760045786,32.62143209489878,13.069898078886,,
V4: Horror (Nun),Yaw Range,2.0491065448762202,0.06550515597603343,0.8080559292016803,299.79476375,89.50530835288373,227.24099875000002,89.85176997363031,,
V4: Horror (Nun),Total Angular Range,2.211683836272066,0.048100721368457125,0.8326737474816244,441.20691150000005,108.15640373761073,345.03997083125,117.08452284895338,,*
V5: Tahiti Surf,Mean Speed (Total),-0.6547888456587034,0.5227970769830934,-0.2127882257201165,29.088123498636293,8.618782393920258,31.51597071266549,11.950021150190485,,
V5: Tahiti Surf,Mean Yaw Speed,-0.7026659649195772,0.49342035989979516,-0.22935573865560116,24.16110687639069,7.396179862892227,26.39133046274007,10.17604473426167,,
V5: Tahiti Surf,SD Speed (Total),-1.1401528001063543,0.2682669761846242,-0.32770113569191484,31.12663106489849,6.562584453600866,34.63555007167656,11.43762225444901,,
V5: Tahiti Surf,Yaw Range,-0.4272500961296365,0.6784490428235537,-0.18471941611652398,345.0269,42.113908028074796,351.9570534375,36.39896935857314,,
V5: Tahiti Surf,Total Angular Range,-0.35938810168874996,0.726962817649496,-0.15582620476041978,478.09943975,65.30819342467433,487.13273878125,56.18092846063365,,
