Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
14.13055,0,0,0,0,0,0,0,0,0,0
14.15055,-0.01762695,1.202915,-0.03491437,5.28595,-2.624878,1.910553,264.2914,131.2409,95.52548,310.1601
14.1651,-0.01823206,1.203467,-0.03470879,5.654144,-2.758698,2.006808,25.30179,9.195885,6.614481,27.72176
14.17773,-0.0183276,1.203411,-0.03447935,5.666199,-2.81485,2.048436,0.9549713,4.448474,3.297824,5.6193
14.19835,-0.01827385,1.203212,-0.0345026,5.700897,-2.880066,2.047627,1.682186,3.161681,0.03994637,3.58156
14.23022,-0.01823327,1.203067,-0.03453602,5.678833,-2.889252,2.061416,0.6925287,0.2883142,0.432808,0.8660508
14.24531,-0.01824099,1.202942,-0.03437709,5.734009,-2.907928,2.055552,3.65645,1.237692,0.3882955,3.879726
14.25805,-0.01825584,1.202854,-0.03423001,5.755127,-2.908264,2.050723,1.656617,0.02633351,0.3782449,1.699454
14.27194,-0.01823469,1.20279,-0.03409453,5.759216,-2.914581,2.035754,0.2943842,0.4547577,1.078676,1.207066
14.286,-0.01822871,1.202736,-0.03406148,5.820923,-2.902557,2.033151,4.388795,0.8551855,0.1844943,4.475142
14.30072,-0.01818248,1.202716,-0.03405688,5.844269,-2.887329,2.026288,1.586109,1.034599,0.4665025,1.950323
14.31755,-0.01810716,1.202739,-0.0339446,5.881165,-2.863983,2.039135,2.192949,1.387598,0.7635472,2.70508
14.33212,-0.0180212,1.202813,-0.03386071,5.870178,-2.85611,2.03959,0.753828,0.5402434,0.03127863,0.9279537
14.34785,-0.01792894,1.202903,-0.03380709,5.861481,-2.856445,2.043248,0.5531631,0.02135015,0.2326075,0.6004594
14.3624,-0.01775866,1.203023,-0.03395913,5.878601,-2.836823,2.031739,1.176101,1.348008,0.7903564,1.955761
14.37728,-0.01757013,1.203166,-0.03410477,5.915649,-2.777679,2.007912,2.490895,3.976404,1.602462,4.958249
14.39236,-0.01739102,1.20333,-0.03412677,5.950806,-2.697296,1.938166,2.330215,5.32794,4.621997,7.428304
14.40658,-0.01720994,1.20347,-0.03410329,5.98938,-2.617584,1.87811,2.713174,5.606654,4.224309,7.526
14.42002,-0.01699361,1.203583,-0.03410476,6.021851,-2.515594,1.83891,2.41578,7.58791,2.917554,8.48083
14.43431,-0.01678353,1.203603,-0.034209,6.044708,-2.421997,1.816803,1.600107,6.552106,1.546699,6.919734
14.44951,-0.01659363,1.203513,-0.03441679,6.058594,-2.322144,1.798346,0.9131962,6.566985,1.21425,6.740446
14.46264,-0.01639004,1.203369,-0.03461882,6.045868,-2.232574,1.78816,0.9691336,6.82112,0.7762365,6.933213
14.47667,-0.01613804,1.20324,-0.03467365,6.016266,-2.145294,1.744149,2.110129,6.221618,3.136914,7.280207
