Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
10.57695,0,0,0,0,0,0,0,0,0,0
10.59696,0.07923573,1.11504,-0.02028486,3.57547,-0.2954407,-3.077759,178.7694,14.7717,153.8844,236.3411
10.61335,0.08044039,1.114681,-0.01695947,3.535553,-0.05435181,-2.823914,2.434904,14.70622,15.48435,21.49342
10.63963,0.0807456,1.114842,-0.01647863,3.588501,0.00112713,-2.843231,2.014879,2.111268,0.7351116,3.009582
10.65815,0.08096006,1.115071,-0.01603209,3.691406,0.05927178,-2.714355,5.556334,3.1395,6.9586,9.442002
10.68864,0.08114485,1.115197,-0.01548391,3.750519,0.05615296,-2.569885,1.938696,0.1020893,4.738146,5.120449
10.70249,0.08151436,1.115477,-0.01426746,3.813721,0.06877965,-2.418335,4.563873,0.9117864,10.9436,11.89213
10.72838,0.08171088,1.115722,-0.01374142,3.916046,0.09240635,-2.388794,3.951388,0.9123662,1.140753,4.212743
10.74148,0.0819231,1.115928,-0.01326909,4.044983,0.1283395,-2.312897,9.845616,2.743857,5.795514,11.74959
10.75812,0.08209974,1.116098,-0.01284684,4.154785,0.158795,-2.232239,6.599186,1.830393,4.847596,8.390398
10.77219,0.08216775,1.1161,-0.01253508,4.325378,0.2284731,-2.194519,12.12335,4.951729,2.680583,13.36715
10.78796,0.08224285,1.116366,-0.01217573,4.461578,0.2990167,-2.117371,8.637194,4.473565,4.89241,10.88805
10.80265,0.08242131,1.116622,-0.01182897,4.624512,0.3805441,-2.080444,11.09115,5.549705,2.513633,12.65429
10.81787,0.0826251,1.116727,-0.0115253,4.738983,0.439053,-2.030243,7.518446,3.842848,3.297213,9.064553
10.83277,0.08281671,1.116898,-0.01119647,4.816193,0.5105113,-1.990143,5.184094,4.797938,2.692451,7.559388
10.84813,0.08304472,1.117043,-0.01093584,4.909698,0.5964489,-1.978027,6.085024,5.592511,0.7884317,8.302128
10.86457,0.08353507,1.117395,-0.01042803,5.092133,0.7284252,-1.914368,11.10121,8.030826,3.873723,14.23856
10.88005,0.08384089,1.117482,-0.01037026,5.167877,0.806882,-1.90802,4.892448,5.067628,0.4100037,7.055849
10.89666,0.08420894,1.117594,-0.01028073,5.199036,0.8699626,-1.89743,1.876407,3.79881,0.6377211,4.284688
