Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
16.74985,0,0,0,0,0,0,0,0,0,0
16.76985,0.005068026,1.191461,-0.0363578,3.108002,-4.935974,-0.05767822,155.3965,246.7931,2.883845,291.656
16.78441,0.004887654,1.192365,-0.03661598,3.41272,-4.762573,-0.03390503,20.92743,11.90883,1.632696,24.13386
16.79745,0.004946847,1.192576,-0.03631631,3.44162,-4.645782,-0.0680542,2.215852,8.954665,2.618309,9.589138
16.81634,0.005022099,1.192652,-0.03617307,3.485291,-4.549561,-0.09667969,2.312027,5.094214,1.5155,5.795966
16.85076,0.005061569,1.192768,-0.03606965,3.556702,-4.499756,-0.1562805,2.074928,1.447129,1.731767,3.065701
16.86439,0.005169909,1.192906,-0.03590556,3.59079,-4.402069,-0.2489929,2.49993,7.164079,6.799273,10.18841
16.87964,0.005323041,1.192992,-0.03572632,3.597961,-4.345886,-0.2915039,0.4702939,3.684303,2.787742,4.644004
16.89197,0.005409712,1.193029,-0.03557897,3.610382,-4.264099,-0.3427734,1.007894,6.636744,4.160347,7.897512
16.90578,0.005456138,1.193011,-0.03543278,3.574341,-4.231201,-0.3421936,2.608864,2.381334,0.04197156,3.532518
16.9197,0.005485827,1.192986,-0.03530009,3.565369,-4.170227,-0.3500671,0.6443835,4.379178,0.5654795,4.462308
16.93375,0.005512986,1.192938,-0.0351365,3.577576,-4.128387,-0.3692322,0.8690929,2.978816,1.364476,3.389758
16.94756,0.005560145,1.192876,-0.03496224,3.567902,-4.127136,-0.374054,0.7005525,0.09060773,0.3491713,0.7879747
16.96218,0.005567653,1.192828,-0.03482123,3.530243,-4.097412,-0.4456787,2.574857,2.032342,4.897235,5.894338
16.97626,0.005564058,1.192823,-0.03477632,3.520721,-4.117432,-0.5083008,0.6765144,1.422415,4.449383,4.719952
16.99206,0.005559495,1.192825,-0.034762,3.479279,-4.136017,-0.5336914,2.622254,1.175959,1.606565,3.292438
