Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
10.8785,0,0,0,0,0,0,0,0,0,0
10.8985,0.009100245,1.132153,-0.03547205,4.098511,-1.659454,0.5689084,204.9306,82.97478,28.44613,222.9138
10.91315,0.006681988,1.133725,-0.03669681,4.800232,-3.299286,0.5629845,47.90105,111.9385,0.4041404,121.7576
10.92633,0.006181227,1.133656,-0.03720702,5.167542,-3.683838,0.6957201,27.86716,29.17531,10.07043,41.58354
10.94415,0.005422981,1.133332,-0.03763067,5.259735,-4.077423,0.7627148,5.173499,22.08627,3.759446,22.99352
10.98026,0.004873844,1.133595,-0.0377756,5.248749,-4.434204,0.6136751,0.3042307,9.879892,4.127397,10.71169
10.99452,0.004394958,1.133662,-0.03800492,5.341339,-4.809814,0.5521944,6.494181,26.34488,4.313044,27.47416
11.00849,0.003940322,1.133545,-0.03820518,5.408447,-5.151703,0.472214,4.802948,24.46905,5.72466,25.58465
11.02236,0.003633572,1.133786,-0.03828745,5.423584,-5.521759,0.5885965,1.091384,26.6817,8.391382,27.99142
11.03621,0.003090855,1.134104,-0.03833952,5.531219,-5.860535,0.7029678,7.774074,24.46838,8.260573,26.96989
11.05012,0.002723213,1.134401,-0.03837165,5.840668,-6.301086,0.7175538,22.24294,31.66657,1.04843,38.71201
11.06384,0.002148375,1.134852,-0.0385429,6.117554,-6.658844,0.7234594,20.17343,26.06559,0.4302694,32.96312
11.0779,0.001792051,1.135138,-0.03863135,6.405609,-7.057434,0.6779865,20.49033,28.35303,3.234516,35.13132
11.09169,0.001395889,1.135553,-0.03860933,6.839722,-7.388245,0.5855013,31.47777,23.98728,6.707143,40.14007
11.10697,0.0009496305,1.136645,-0.03852228,7.378052,-7.713776,0.5092213,35.24036,21.31003,4.994381,41.48426
11.12202,0.000505887,1.137896,-0.03845201,8.204407,-8.136414,0.4573167,54.89016,28.07348,3.448119,61.749
11.13672,-0.0001147557,1.138922,-0.03861579,9.16333,-8.635315,0.4223758,65.2374,33.94122,2.377214,73.577
11.15157,-0.0007283967,1.139799,-0.0387857,10.02228,-9.195953,0.3040357,57.86521,37.76884,7.972759,69.55885
11.16625,-0.001336429,1.140538,-0.03876584,10.84393,-9.765747,0.07397643,55.94961,38.7994,15.66647,69.86552
11.1805,-0.001974398,1.141739,-0.03866457,11.75787,-10.30185,0.02953075,64.16283,37.63685,3.119443,74.45221
11.1954,-0.002428202,1.143116,-0.03881496,12.68246,-10.82806,-0.02282715,62.0165,35.29559,3.51257,71.44344
11.21075,-0.002961148,1.144018,-0.03917078,13.48145,-11.27682,-0.1563721,52.06588,29.24368,8.702504,60.34718
11.22576,-0.003477519,1.144725,-0.03939885,14.24423,-11.80365,-0.1234741,50.80285,35.0874,2.191057,61.7807
11.24108,-0.004000925,1.145777,-0.03957041,15.03915,-12.28497,-0.2025146,51.91753,31.43594,5.162255,60.91221
11.25638,-0.0050536,1.147835,-0.04022103,16.57382,-13.31439,-0.1873779,100.2814,67.2664,0.9890946,120.7564
11.27651,-0.005717939,1.148145,-0.04067047,17.29523,-13.89453,-0.1721802,35.84042,28.82214,0.755046,45.99806
11.29189,-0.006488686,1.148474,-0.04120436,17.82617,-14.45749,-0.1219788,34.5177,36.59892,3.263686,50.41433
11.30988,-0.007134877,1.148847,-0.04154309,18.27112,-14.9668,-0.1801453,24.73545,28.31343,3.233591,37.73525
11.32553,-0.008259944,1.150105,-0.04198406,19.3916,-16.02621,-0.01123047,71.56243,67.66232,10.78816,99.07449
11.34161,-0.008697996,1.150788,-0.04218379,20.07727,-16.49844,0.07499049,42.64642,29.37114,5.362121,52.05894
11.35785,-0.009189362,1.150999,-0.04257365,20.69061,-16.90378,0.04625745,37.77376,24.96323,1.770469,45.31174
11.37355,-0.009474795,1.15102,-0.04271623,21.11398,-17.38446,0.1380898,26.97223,30.62349,5.850486,41.22533
11.39238,-0.01023186,1.150799,-0.04302397,21.87918,-18.01782,0.04925864,40.62212,33.62333,4.716079,52.94267
11.41147,-0.01042223,1.150293,-0.04325746,21.96869,-18.16086,0.04312674,4.688581,7.492457,0.3213108,8.844374
11.42889,-0.01035534,1.150172,-0.04301585,21.86206,-18.25446,-0.06692505,6.122105,5.373925,6.318348,10.30926
11.44209,-0.01069566,1.150377,-0.04320545,21.53839,-18.23615,-0.214447,24.52963,1.387684,11.18011,26.99302
11.46712,-0.01056589,1.14994,-0.04318608,21.08929,-18.16452,-0.348053,17.94292,2.86165,5.338007,18.93758
