Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
13.51296,0,0,0,0,0,0,0,0,0,0
13.53296,0.01269065,1.170165,-0.174834,13.42273,0.2667323,4.025777,671.1531,13.33695,201.2938,700.8164
13.54726,0.01352186,1.169866,-0.1765996,13.66119,0.3644919,3.684072,16.6821,6.838907,23.90446,29.94138
13.56142,0.0134839,1.169663,-0.1767762,13.51138,0.2067726,3.89348,10.57547,11.13343,14.7826,21.31476
13.58008,0.01352992,1.170276,-0.1768385,13.69711,0.1264029,3.84639,9.956646,4.309203,2.524335,11.13895
13.61544,0.01354479,1.170509,-0.176963,13.88412,0.2412383,3.703391,5.288315,3.247311,4.043904,7.407055
13.6297,0.01368264,1.170367,-0.1770228,13.91907,0.2926623,3.631871,2.450672,3.606583,5.016922,6.64701
13.64332,0.01396463,1.170343,-0.1773597,13.82626,0.2699963,3.633796,6.812657,1.66452,0.1413645,7.014479
13.65715,0.01403021,1.170208,-0.1773734,13.7063,0.1856458,3.77245,8.671722,6.097339,10.0227,14.58872
13.671,0.01399476,1.17016,-0.1773115,13.71649,0.05039797,3.876085,0.7359361,9.765475,7.482493,12.32452
13.68508,0.01394712,1.170305,-0.1771766,13.8421,-0.01220703,3.886766,8.924787,4.447215,0.7589104,10.00027
13.69902,0.01393203,1.170593,-0.1770105,13.97833,-0.06350708,3.933275,9.769388,3.67884,3.335317,10.95898
13.71301,0.01393509,1.170858,-0.1768174,14.07089,-0.1542358,3.964277,6.618658,6.487725,2.216806,9.529504
13.72679,0.01393562,1.171059,-0.1765568,14.11893,-0.2827454,3.99406,3.484951,9.323462,2.160814,10.18533
13.74189,0.01400086,1.171159,-0.1763315,14.18454,-0.4130554,3.998477,4.344532,8.628442,0.2924192,9.664909
13.75635,0.01411774,1.171201,-0.1760572,14.29022,-0.4903564,3.916213,7.311692,5.348113,5.692267,10.69883
13.7708,0.01415529,1.171448,-0.1756864,14.40033,-0.4378662,3.623174,7.616333,3.630846,20.26941,21.95542
13.78569,0.01403853,1.172059,-0.175534,14.72083,-0.4569092,3.613011,21.53566,1.27959,0.682858,21.58445
13.79993,0.01396256,1.172151,-0.1751443,14.69144,-0.6491699,3.823901,2.063479,13.4994,14.80747,20.14331
