Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
10.94609,0,0,0,0,0,0,0,0,0,0
10.96609,0.0004419889,1.153876,-0.03207278,-2.457936,2.694642,-0.2049255,122.8998,134.7355,10.24653,182.6554
10.98146,-0.0001325328,1.155264,-0.03239661,-1.814609,2.386667,-0.2243652,41.86892,20.04369,1.265144,46.43659
10.99788,-0.0003704522,1.156078,-0.03241138,-1.305265,2.170398,-0.2371521,31.0133,13.16904,0.7785843,33.70244
11.01553,-0.000710858,1.156955,-0.03247179,-0.8425913,1.954687,-0.2446289,26.22018,12.22375,0.4237151,28.93263
11.044,-0.0008572582,1.157817,-0.03255904,-0.1822363,1.777353,-0.3361511,23.18982,6.227461,3.213932,24.22557
11.05813,-0.00159413,1.159792,-0.03299181,1.031128,1.480742,-0.4714661,85.91532,21.00128,9.581201,88.96233
11.08082,-0.001734758,1.160509,-0.03315695,1.517029,1.242638,-0.5412903,21.41133,10.49185,3.07682,24.04144
11.09617,-0.002396405,1.161441,-0.03344247,2.17746,1.098356,-0.3886108,43.0105,9.396684,9.943233,45.1339
11.11374,-0.002696173,1.162677,-0.03365211,2.779266,0.8348556,-0.3660278,34.264,15.00179,1.285769,37.42631
11.12764,-0.002929073,1.163679,-0.03391959,3.45108,0.6330965,-0.4122314,48.31605,14.50974,3.322908,50.55704
11.14148,-0.003346834,1.164538,-0.03441355,4.073334,0.4852675,-0.480896,44.96451,10.6821,4.961753,46.48154
11.15628,-0.003682125,1.165249,-0.03481343,4.587769,0.2852493,-0.5201416,34.75446,13.51253,2.651376,37.38303
11.17115,-0.004106127,1.166155,-0.03508542,5.146881,0.06212573,-0.3557434,37.60806,15.00751,11.05805,41.97466
11.18594,-0.004323149,1.167211,-0.03525156,5.838684,-0.2171326,-0.2544556,46.77336,18.88142,6.848153,50.90337
11.20097,-0.004892334,1.168005,-0.03549663,6.505615,-0.4248962,-0.1446533,44.36797,13.8216,7.304657,47.0416
11.21547,-0.00532956,1.168651,-0.03585514,7.015961,-0.6091309,-0.1907654,35.204,12.70864,3.180843,37.5626
11.23029,-0.005680161,1.169072,-0.0362184,7.446472,-0.7203064,-0.2523804,29.05477,7.503121,4.158332,30.29469
11.24531,-0.00587468,1.169549,-0.03657886,7.783661,-0.8590698,-0.1974182,22.45161,9.239523,3.659639,24.55273
11.26009,-0.006184138,1.170109,-0.03687132,8.102509,-0.9146729,-0.2251282,21.56311,3.760335,1.873976,21.96861
11.27541,-0.006372171,1.170678,-0.03718124,8.506805,-1.059021,-0.1549988,26.39044,9.422311,4.577689,28.39349
11.29004,-0.006794577,1.171663,-0.03778334,9.24411,-1.264252,-0.1609192,50.4121,14.03234,0.4047992,52.3302
11.30535,-0.00689302,1.172025,-0.03816143,9.459717,-1.291687,-0.1942749,14.07809,1.791394,2.177969,14.35776
11.32055,-0.006818434,1.172061,-0.03839391,9.700714,-1.276123,-0.2881775,15.85445,1.023904,6.177552,17.04623
11.33745,-0.006846825,1.172528,-0.03867602,9.904236,-1.244232,-0.2848511,12.04198,1.88692,0.1968175,12.19051
11.35205,-0.006843081,1.173146,-0.03879859,10.29828,-1.255188,-0.3143616,27.00196,0.7507516,2.022219,27.08798
11.3655,-0.00674269,1.173868,-0.03910392,10.80362,-1.297424,-0.4266968,37.57005,3.140102,8.351673,38.61501
11.38026,-0.006771425,1.174421,-0.03942539,11.21707,-1.320679,-0.4784546,28.00801,1.575296,3.50617,28.27054
11.39527,-0.006582351,1.175083,-0.03965903,11.64377,-1.349365,-0.6942749,28.43134,1.911419,14.38038,31.91849
