Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
12.20506,0,0,0,0,0,0,0,0,0,0
12.22506,0.009147305,1.194441,-0.0123243,-0.3360177,0.642072,0.1979585,16.8013,32.1044,9.898171,37.56261
12.24018,0.008697892,1.195008,-0.01330212,0.03579712,0.4276696,0.2273905,24.59085,14.18051,1.946492,28.45322
12.252,0.008608891,1.19518,-0.01377972,0.1199036,0.3060987,0.2341617,7.116849,10.28793,0.5729641,12.52275
12.26465,0.008418869,1.19536,-0.01416436,0.1528625,0.2171229,0.2683887,2.605156,7.033921,2.705378,7.97383
12.29381,0.00822269,1.195478,-0.01440957,0.151886,0.07778981,0.323081,0.03349579,4.779431,1.87593,5.134511
12.30791,0.008000186,1.195536,-0.01456971,0.2089844,-0.03192139,0.3552773,4.04732,7.776651,2.282177,9.058997
12.3217,0.00775929,1.195595,-0.01471017,0.2529602,-0.1188354,0.3357914,3.189156,6.303064,1.414206,7.204117
12.3357,0.007602409,1.195516,-0.01499541,0.2938538,-0.2010193,0.3114199,2.922374,5.8731,1.74252,6.787485
12.34958,0.007361036,1.195521,-0.01524206,0.2706299,-0.2738342,0.3303886,1.673102,5.245758,1.366549,5.673156
12.36339,0.007162079,1.195535,-0.01560897,0.2592773,-0.3564148,0.3739952,0.8221563,5.980524,3.158007,6.812901
12.37725,0.007007398,1.195704,-0.0159621,0.2670288,-0.4379883,0.3659258,0.5590481,5.883211,0.5810578,5.938209
12.39108,0.00681111,1.195869,-0.01616534,0.3015747,-0.5142212,0.3875442,2.497346,5.510927,1.562804,6.248953
12.40593,0.006654216,1.195865,-0.01640851,0.3719788,-0.5983887,0.387488,4.740817,5.667609,0.004109941,7.388988
12.42237,0.006508054,1.195887,-0.01672819,0.4380188,-0.6605835,0.392641,4.01927,3.785246,0.3136173,5.530007
12.43742,0.00633508,1.19597,-0.01698566,0.4732361,-0.6891785,0.3685276,2.339733,1.899766,1.601723,3.413059
12.45272,0.006234471,1.196056,-0.01732425,0.5590515,-0.7585754,0.4000191,5.608926,4.53581,2.058295,7.501347
12.4675,0.006090302,1.196219,-0.01761376,0.6181335,-0.8085327,0.4126491,3.996387,3.379177,0.8543091,5.30281
12.48126,0.005964618,1.196501,-0.01806117,0.72052,-0.8583069,0.3999331,7.443151,3.618414,0.9251248,8.327621
12.49525,0.005745739,1.196907,-0.01851623,0.7971802,-0.8958435,0.4075707,5.477615,2.682112,0.5457326,6.123383
12.50989,0.005611707,1.197106,-0.01890843,0.8995361,-0.9242554,0.3444992,6.990686,1.940468,4.308213,8.437761
12.52425,0.005495902,1.19727,-0.01924173,0.9909668,-0.9721375,0.3227398,6.370233,3.33608,1.516013,7.348986
12.53908,0.005337758,1.197429,-0.01961912,1.062408,-0.9915466,0.2606987,4.815324,1.308221,4.181783,6.510461
12.55344,0.005098868,1.19762,-0.01998965,1.11026,-1.015381,0.2237734,3.332625,1.659936,2.571732,4.524995
12.56936,0.004972018,1.197723,-0.0203847,1.156311,-1.089325,0.158737,2.893576,4.646213,4.086289,6.830655
12.58142,0.004723914,1.19781,-0.02082463,1.203583,-1.123169,0.06558138,3.918109,2.805154,7.722394,9.102518
12.59691,0.004512131,1.198016,-0.02120152,1.185333,-1.187805,0.008226159,1.178253,4.173142,3.702235,5.701749
12.61055,0.004175294,1.198202,-0.02168658,1.211853,-1.260925,0.004997464,1.944072,5.360179,0.2371365,5.706765
12.62537,0.003875675,1.19835,-0.02221534,1.2388,-1.345856,-0.01147461,1.818392,5.731128,1.112041,6.114656
12.63706,0.00360598,1.198418,-0.02270285,1.275146,-1.420868,-0.009368896,3.108139,6.414614,0.1800685,7.130233
12.65088,0.003373655,1.198511,-0.02315093,1.316498,-1.483398,-0.01745605,2.991996,4.524427,0.5851504,5.45572
12.66438,0.003146566,1.198605,-0.02363824,1.393341,-1.543823,0.008695601,5.696027,4.479005,1.93864,7.500969
12.67849,0.002918696,1.198674,-0.02413055,1.43866,-1.592896,-0.002823227,3.211462,3.477462,0.8153004,4.803222
12.69407,0.002695469,1.198837,-0.0246799,1.479706,-1.612946,-0.01583862,2.634349,1.286816,0.8343738,3.048257
12.70634,0.002477568,1.199163,-0.02517491,1.522278,-1.618896,-0.01797485,3.468531,0.4848485,0.1740482,3.506577
12.72792,0.00231823,1.199564,-0.02567087,1.623993,-1.609833,-0.04779053,4.713036,0.4199735,1.381529,4.92927
12.74727,0.002076292,1.200761,-0.02654509,1.848358,-1.593842,-0.1146545,11.59793,0.8266206,3.456347,12.13019
12.76178,0.00186852,1.201305,-0.02695019,2.007751,-1.561737,-0.1364746,10.98639,2.212844,1.503977,11.3075
12.7751,0.001657778,1.201953,-0.02728879,2.129425,-1.511475,-0.2043457,9.133367,3.772926,5.09471,11.11798
12.78943,0.001481263,1.20265,-0.02757111,2.257172,-1.473145,-0.2520447,8.911716,2.67394,3.327523,9.881348
12.80217,0.001288936,1.203328,-0.02782895,2.405548,-1.407379,-0.3272705,11.65161,5.164382,5.907287,14.04731
12.81586,0.001057904,1.204054,-0.02801653,2.550934,-1.318604,-0.397522,10.6169,6.482903,5.130162,13.45604
12.83047,0.0008186456,1.204594,-0.02813197,2.727905,-1.236694,-0.4568176,12.11042,5.605169,4.057691,13.94794
12.84347,0.0005820394,1.205113,-0.0282151,2.842194,-1.174316,-0.5142212,8.794306,4.799882,4.417113,10.94941
12.85763,0.0002796091,1.205623,-0.02829676,2.858887,-1.095673,-0.5843201,1.179276,5.55575,4.952099,7.535273
12.87064,2.509169E-05,1.205894,-0.02825403,2.8255,-1.058105,-0.559021,2.565816,2.88713,1.944298,4.32426
12.88434,-0.0002259593,1.206036,-0.02800542,2.703552,-1.051392,-0.5065918,8.901016,0.4900459,3.826813,9.701172
12.89891,-0.000393061,1.205952,-0.02772809,2.532166,-1.078217,-0.4237061,11.75895,1.840476,5.686841,13.19092
12.91207,-0.0005502682,1.205771,-0.02729133,2.272797,-1.114929,-0.3253479,19.71926,2.791183,7.477958,21.27345
12.92606,-0.0007732101,1.205461,-0.02677041,2.009949,-1.126282,-0.2043762,18.78901,0.8115073,8.647351,20.69933
12.93955,-0.0008905996,1.205129,-0.0260779,1.728699,-1.134735,-0.1389771,20.83889,0.6263426,4.845675,21.40403
12.95321,-0.00106743,1.204791,-0.02528935,1.469269,-1.120087,-0.05474854,18.99665,1.072626,6.167598,20.00156
12.96789,-0.001091553,1.204286,-0.02440132,1.223694,-1.115692,0.01100202,16.7319,0.2994152,4.480832,17.32409
12.98118,-0.001078041,1.203709,-0.02346122,0.9590149,-1.151947,0.1208647,19.90933,2.727116,8.263947,21.72812
12.99562,-0.001217781,1.203033,-0.02241489,0.7127075,-1.185822,0.2501777,17.05216,2.345174,8.952492,19.40162
