Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
11.96511,0,0,0,0,0,0,0,0,0,0
11.98512,0.01952145,1.153287,-0.09379475,-0.3500853,-1.911987,-1.198303,17.50386,95.59718,59.91379,114.1703
11.99931,0.02371299,1.153715,-0.09455951,-0.1740123,-0.1928711,-0.9932251,12.40443,121.1034,14.44676,122.5912
12.01755,0.02509842,1.153544,-0.09522258,-0.1141367,0.5116667,-1.16507,3.28351,38.63564,9.423775,39.90365
12.03577,0.0265835,1.153845,-0.09557717,-0.05422349,1.117831,-1.332397,3.286559,33.25537,9.17993,34.65533
12.0655,0.02774953,1.154149,-0.09599973,0.1090393,1.758621,-1.454773,5.492637,21.5572,4.116911,22.62368
12.07961,0.02909,1.154346,-0.09640151,0.1504822,2.320445,-1.633026,2.936613,39.81049,12.6309,41.8693
12.09349,0.03019493,1.154637,-0.09676927,0.2307434,2.817496,-1.598297,5.781014,35.80133,2.501442,36.35124
12.10745,0.0311917,1.15477,-0.09722282,0.2994385,3.315097,-1.565887,4.922909,35.65965,2.322581,36.0727
12.12135,0.03219224,1.154845,-0.09758378,0.3060608,3.786414,-1.588226,0.4763342,33.90124,1.606805,33.94264
12.13503,0.03314507,1.155052,-0.09781728,0.2955322,4.173249,-1.538513,0.7699282,28.28825,3.6354,28.53128
12.14899,0.03379525,1.155037,-0.09808029,0.3337097,4.61908,-1.581543,2.733866,31.9257,3.081336,32.19035
12.16313,0.03452654,1.155084,-0.09842015,0.3621521,5.004874,-1.748627,2.012008,27.29097,11.81947,29.80847
12.17887,0.03509182,1.155135,-0.09884006,0.4511108,5.352861,-1.754761,5.650251,22.10258,0.3896057,22.81669
12.19086,0.03579653,1.155405,-0.09906699,0.485199,5.554897,-1.695496,2.844048,16.8563,4.944621,17.7953
12.20728,0.03619991,1.155677,-0.09923953,0.515625,5.785866,-1.823822,1.852514,14.06271,7.813262,16.19379
12.22278,0.03654607,1.155765,-0.09949138,0.6338806,5.970427,-1.915131,7.630769,11.90929,5.891939,15.32236
12.23891,0.03690141,1.155939,-0.09980873,0.6880798,6.133967,-2.023346,3.359858,10.13801,6.708365,12.6123
12.25453,0.0374468,1.156512,-0.1005496,0.8835144,6.481107,-2.329803,12.51239,22.22512,19.62047,32.17885
12.27332,0.03766002,1.156855,-0.1009659,1.053314,6.660615,-2.537415,9.038428,9.555181,11.05112,17.17911
12.28865,0.0380047,1.157246,-0.101377,1.246887,6.777546,-2.631165,12.6221,7.624619,6.113053,15.96313
12.30497,0.03829385,1.157853,-0.1023053,1.510162,7.046798,-2.797729,16.13843,16.50476,10.21022,25.24093
12.32612,0.03840083,1.158027,-0.1028947,1.552216,7.163404,-2.95755,1.988187,5.512873,7.555976,9.562292
12.3414,0.0385313,1.158318,-0.1033748,1.640717,7.264033,-3.026886,5.789506,6.582912,4.535779,9.870481
12.35968,0.0386161,1.158668,-0.1038475,1.779846,7.384252,-3.146484,7.613799,6.57891,6.544961,12.00369
12.37615,0.03851377,1.159368,-0.1049716,2.021942,7.583737,-3.339203,14.69329,12.10719,11.69648,22.34468
12.39436,0.03827541,1.159601,-0.1056019,2.15802,7.643692,-3.428955,7.474098,3.293018,4.929653,9.539789
12.41042,0.03818275,1.159987,-0.1061694,2.234711,7.639405,-3.476746,4.775864,0.2660649,2.976125,5.633559
12.42782,0.0380826,1.160288,-0.1067297,2.351318,7.655963,-3.5,6.699836,0.9513699,1.33611,6.897687
12.44634,0.03791367,1.160715,-0.10729,2.492737,7.66156,-3.557983,7.636626,0.3022196,3.131115,8.259132
12.45988,0.03754828,1.161363,-0.1085065,2.721893,7.727551,-3.668457,16.92527,4.873988,8.159471,19.41127
12.48575,0.03734169,1.16156,-0.1092186,2.803406,7.672826,-3.630249,3.150577,2.114932,1.476796,4.071855
12.51054,0.03679376,1.161861,-0.1105821,3.014069,7.443678,-3.471771,8.497961,9.243979,6.39286,14.09025
12.52714,0.03649419,1.162002,-0.1111718,3.080719,7.242171,-3.371765,4.015629,12.14066,6.025281,14.13594
12.54386,0.03593745,1.162083,-0.1123866,3.151672,6.928574,-3.323151,4.243669,18.7561,2.907598,19.44876
12.56117,0.03560479,1.161731,-0.1129509,3.028259,6.711298,-3.313385,7.129917,12.55317,0.5641873,14.4477
12.57855,0.03535422,1.161229,-0.1135309,2.858612,6.46148,-3.398193,9.760123,14.37243,4.879184,18.04531
12.59441,0.03507133,1.160871,-0.1139931,2.631073,6.228264,-3.472961,14.34622,14.70411,4.714088,21.07718
12.61127,0.03478117,1.16042,-0.1144609,2.450562,5.977312,-3.602264,10.70528,14.88242,7.668344,19.87191
12.62759,0.03418448,1.159421,-0.1153333,2.064606,5.532325,-3.789948,23.64754,27.26376,11.49936,37.87815
12.64521,0.03399252,1.158648,-0.1156277,1.753235,5.252364,-3.946594,17.67231,15.89001,8.890718,25.37416
12.66122,0.03367564,1.157908,-0.1159332,1.371094,4.953776,-3.964355,23.8699,18.65062,1.10943,30.31252
12.67822,0.0333967,1.157101,-0.1162086,0.9534607,4.655552,-4.025146,24.56774,17.543,3.576101,30.39933
12.6944,0.03312724,1.15625,-0.1165089,0.5774231,4.374207,-4.117279,23.24632,17.39229,5.695555,29.58584
12.71197,0.03286625,1.154531,-0.1170157,-0.2247429,3.735666,-4.177094,45.64854,36.33822,3.403886,58.4452
12.72837,0.03231553,1.153524,-0.117313,-0.7820982,3.470708,-4.130646,33.98438,16.15538,2.832122,37.73533
12.74546,0.03181656,1.152214,-0.117577,-1.424408,3.153247,-4.054596,37.58849,18.57886,4.450497,42.16486
12.76186,0.03159994,1.150653,-0.1178261,-2.153539,2.779882,-3.995819,44.45314,22.76225,3.583464,50.07038
12.77916,0.0313109,1.149841,-0.1180815,-2.694901,2.408103,-3.864166,31.28631,21.48501,7.608466,38.70823
12.79575,0.03093413,1.14861,-0.1182316,-3.46434,1.691585,-3.795898,46.4034,43.21206,4.117099,63.54139
12.81517,0.03064962,1.147673,-0.1185061,-3.772332,1.364651,-3.747101,15.85667,16.83193,2.512299,23.26069
12.83009,0.0305624,1.146048,-0.1190972,-4.355677,0.9115578,-3.610992,39.09254,30.3639,9.121238,50.3328
12.84712,0.03050086,1.144335,-0.119787,-5.294024,0.4803884,-3.539703,55.10044,25.31937,4.186145,60.78365
12.86383,0.03052702,1.141457,-0.1209915,-6.65589,-0.360321,-3.440582,81.49406,50.30737,5.931405,95.95466
12.88141,0.03064002,1.141839,-0.1209708,-6.724284,-0.7575684,-3.47937,3.891448,22.60264,2.206956,23.04112
12.90045,0.03061449,1.142011,-0.1207491,-6.582329,-1.008453,-3.56424,7.454381,13.17336,4.456285,15.77858
12.91592,0.03064975,1.141241,-0.1207541,-6.494598,-1.156586,-3.848877,5.67166,9.575735,18.39985,21.50388
12.93287,0.03063172,1.140299,-0.1210425,-6.815572,-1.595032,-3.936096,18.93583,25.8661,5.145494,32.46686
12.95091,0.03038383,1.140481,-0.1211013,-6.765802,-1.80835,-3.746582,2.759438,11.82616,10.5065,16.05799
12.96756,0.03002008,1.140897,-0.1213361,-6.649743,-2.118408,-3.594025,6.971985,18.62618,9.164595,21.89824
12.98487,0.02969375,1.140472,-0.1217532,-6.524571,-2.690674,-3.505005,7.232176,33.06138,5.14292,34.23169
13.00679,0.0293661,1.140936,-0.1220521,-6.425321,-2.90686,-3.490479,4.527474,9.862432,0.6626931,10.8722
13.0239,0.02895041,1.142278,-0.1223102,-6.169341,-3.112854,-3.440125,14.95354,12.03343,2.941504,19.41814
13.04205,0.02879462,1.143152,-0.1223849,-5.765981,-3.427063,-3.350647,22.2333,17.31967,4.932135,28.61147
13.05766,0.02846241,1.144451,-0.122868,-5.216241,-4.00528,-3.18924,35.20723,37.03072,10.33702,52.13135
13.07473,0.02836288,1.144956,-0.1232522,-4.993349,-4.405579,-2.947083,13.06181,23.45725,14.19023,30.36801
13.09275,0.02830273,1.145316,-0.123696,-4.747639,-4.823151,-2.889282,13.62988,23.16453,3.206433,27.06752
13.10923,0.02828954,1.14604,-0.1238683,-4.477713,-5.151001,-2.924835,16.38058,19.8956,2.157532,25.86142
13.12676,0.02841987,1.147283,-0.1241847,-3.910423,-5.773254,-2.93454,32.35683,35.49173,0.5535248,48.03055
13.14456,0.02848154,1.147973,-0.1241154,-3.633894,-6.041779,-2.827271,15.53953,15.0902,6.02819,22.48399
13.1613,0.02854469,1.14843,-0.1241478,-3.387924,-6.284393,-2.802521,14.69295,14.49242,1.47841,20.69055
13.17884,0.0285694,1.148594,-0.1241667,-3.119305,-6.559723,-2.730896,15.31115,15.69385,4.082627,22.30238
13.19556,0.02870032,1.149741,-0.1238317,-2.674231,-7.193146,-2.654633,26.6268,37.89536,4.562561,46.53882
13.21346,0.0284462,1.150477,-0.1236816,-2.314824,-7.490417,-2.649231,20.08014,16.6087,0.3017903,26.06054
13.23067,0.02844563,1.150926,-0.1235806,-2.110263,-7.903107,-2.645813,11.88607,23.97961,0.1986036,26.76452
13.2489,0.02837734,1.150889,-0.1237079,-2.024327,-8.221039,-2.760468,4.712971,17.43598,6.287866,19.12493
13.26502,0.02817591,1.151163,-0.1236726,-1.844185,-8.974487,-2.716553,11.17728,46.7484,2.724734,48.14321
13.28361,0.02781484,1.151356,-0.123676,-1.815837,-9.373596,-2.826691,1.524591,21.46243,5.922765,22.3168
13.30037,0.02732401,1.151658,-0.1237746,-1.630974,-9.838837,-2.746796,11.03084,27.75919,4.767042,30.24858
13.3185,0.02692527,1.151826,-0.1238927,-1.595709,-10.26782,-2.75119,1.946538,23.66996,0.2424753,23.7511
13.3349,0.02618293,1.151729,-0.1242671,-1.477133,-11.06525,-2.730591,7.227487,48.61113,1.255741,49.16152
13.353,0.02575093,1.15152,-0.1243732,-1.605437,-11.52023,-2.599854,7.089863,25.14165,7.224283,27.10275
13.37066,0.02530086,1.151246,-0.1247049,-1.889171,-11.94055,-2.553711,16.06722,23.80169,2.61295,28.83581
13.38871,0.02485604,1.15134,-0.1248869,-1.998985,-12.29257,-2.564392,6.084445,19.50436,0.5918097,20.43993
13.40626,0.02384328,1.151522,-0.1252659,-1.995697,-12.93365,-2.591522,0.1877343,36.51605,1.545331,36.54922
13.42378,0.02329457,1.151852,-0.1253895,-1.990837,-13.21408,-2.488281,0.2769281,16.00435,5.892124,17.05676
13.44109,0.02289235,1.151933,-0.1255492,-1.999442,-13.57083,-2.406433,0.4971624,20.6116,4.728856,21.15296
13.45901,0.02236716,1.151976,-0.1258196,-2.018672,-13.88965,-2.4151,1.073067,17.79064,0.4836358,17.82954
13.47635,0.02161811,1.152875,-0.1261486,-2.045053,-14.60129,-2.305969,1.521547,41.04329,6.294043,41.55095
13.49417,0.02120611,1.153342,-0.1262749,-1.931236,-14.90915,-2.334198,6.388012,17.27675,1.584158,18.48789
13.51143,0.02082278,1.153584,-0.126434,-1.85257,-15.24963,-2.346222,4.55779,19.72508,0.6965746,20.25679
13.52795,0.02065355,1.153544,-0.1264417,-1.768263,-15.59711,-2.437439,5.104555,21.03527,5.522083,22.33904
13.54552,0.02012357,1.153677,-0.1264834,-1.690177,-16.31354,-2.385956,4.443673,40.76579,2.929455,41.11177
13.563,0.01961286,1.153695,-0.1265612,-1.700847,-16.64081,-2.323151,0.6105056,18.72574,3.593583,19.07721
13.58094,0.01948108,1.153604,-0.1264958,-1.723703,-17.04956,-2.370697,1.274381,22.79102,2.651069,22.98005
13.59733,0.01917985,1.15332,-0.1264524,-1.786354,-17.30569,-2.405518,3.822093,15.62579,2.124273,16.22609
13.61512,0.0186534,1.15225,-0.1264341,-1.697914,-17.85202,-2.694336,4.969775,30.70011,16.2298,35.07993
13.63124,0.0186671,1.152577,-0.1257771,-1.968186,-18.18616,-2.583984,16.76535,20.72693,6.845244,27.52344
13.64927,0.01833121,1.152685,-0.1255469,-2.019418,-18.29456,-2.620331,2.84176,6.012696,2.016081,6.949295
13.66572,0.01785132,1.152511,-0.1253447,-2.058793,-18.57541,-2.504333,2.394172,17.07718,7.053175,18.63087
13.68372,0.01701316,1.15204,-0.1250366,-2.264704,-19.0564,-2.477966,11.43914,26.72064,1.464795,29.10313
13.69991,0.0162887,1.151703,-0.1251339,-2.443566,-19.32571,-2.342499,11.04727,16.63427,8.367085,21.65062
13.71781,0.01567529,1.151438,-0.125031,-2.646358,-19.59106,-2.286499,11.33191,14.8276,3.12923,18.92253
13.73424,0.01514475,1.150866,-0.125141,-2.762922,-19.84976,-2.171021,7.093819,15.7437,7.027742,18.64338
13.75184,0.01400761,1.150918,-0.1250394,-3.046987,-20.38446,-2.103729,16.1356,30.37226,3.822319,34.60408
13.76882,0.01365748,1.151659,-0.1245639,-3.078568,-20.77255,-2.183594,1.859961,22.85689,4.703662,23.40985
13.78646,0.01291744,1.151786,-0.1246878,-2.871599,-21.06479,-2.084747,11.7342,16.56837,5.604109,21.06201
13.80345,0.01210975,1.151913,-0.1249718,-2.933185,-21.62628,-1.786224,3.625723,33.05643,17.57476,37.6131
13.82106,0.01102565,1.152094,-0.1253773,-2.895625,-22.26575,-1.692871,2.132294,36.29577,5.29869,36.74242
13.83708,0.009311459,1.15298,-0.1257574,-2.880987,-23.47449,-1.673248,0.9147758,75.48425,1.225418,75.49973
13.85489,0.008356583,1.153406,-0.1258954,-2.737799,-24.12616,-1.722961,8.037257,36.57877,2.790429,37.55516
13.8712,0.007543666,1.154126,-0.1261087,-2.559645,-24.69458,-1.719788,10.92683,34.86179,0.194654,36.53461
13.88922,0.007083394,1.154404,-0.126632,-2.41483,-25.32486,-1.488647,8.033012,34.96434,12.82235,38.09787
13.9056,0.005644543,1.155704,-0.127683,-2.741823,-26.41187,-1.355194,19.97301,66.39529,8.151453,69.81191
13.92325,0.005159668,1.154575,-0.1286041,-2.447276,-26.69418,-1.918732,16.68273,15.98963,31.91704,39.40405
13.93949,0.005125062,1.154665,-0.129381,-2.521661,-27.12585,-1.741272,4.580603,26.5821,10.92788,29.10341
13.95712,0.004307978,1.155275,-0.1299641,-2.530857,-27.81424,-1.243774,0.5217656,39.05763,28.22704,48.1927
13.97349,0.003713555,1.155452,-0.1305998,-2.273218,-28.40503,-1.125916,15.73624,36.08598,7.198928,40.02064
13.99119,0.002801872,1.155837,-0.1320953,-2.159784,-29.36893,-1.005829,6.409311,54.46276,6.785214,55.25677
14.00724,0.00236593,1.156153,-0.1325033,-2.249316,-29.82855,-0.9461975,5.578585,28.63818,3.715491,29.41209
14.02455,0.001630187,1.156044,-0.1330468,-2.168594,-30.23456,-0.8306274,4.662847,23.4535,6.676069,24.82698
14.03979,0.0008068159,1.15642,-0.1338696,-2.167045,-30.74051,-0.7626648,0.1020829,33.18496,4.457622,33.48317
