Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
11.04964,0,0,0,0,0,0,0,0,0,0
11.06964,0.03434864,1.122361,-0.4015721,12.40439,1.533711,0.06736585,620.2348,76.68745,3.368376,624.9668
11.08452,0.03245801,1.121355,-0.4029768,11.9137,1.208485,0.1163385,32.97411,21.85491,3.290919,39.69583
11.09973,0.03174281,1.121217,-0.4034025,11.9321,1.156705,0.09363285,1.210236,3.405921,1.493226,3.910843
11.11815,0.03118615,1.121502,-0.4038269,12.08371,1.142432,0.2162326,8.228572,0.7751553,6.653991,10.61065
11.15572,0.03065196,1.121508,-0.4042345,12.16656,1.006985,0.3304709,2.205244,3.604742,3.040527,5.205965
11.16978,0.02992587,1.121462,-0.4048048,12.18375,0.93363,0.3959653,1.222667,5.220767,4.660725,7.104483
11.18394,0.02928566,1.121385,-0.405436,12.1088,0.8619155,0.4157487,5.29346,5.064996,1.39721,7.458358
11.19844,0.02868566,1.121284,-0.4059391,12.0329,0.798052,0.4574756,5.233379,4.404287,2.877219,7.420539
11.21137,0.0281771,1.12106,-0.4064607,12.00629,0.6972186,0.5175006,2.057969,7.797625,4.641991,9.305175
11.22553,0.02788063,1.120763,-0.4067771,12.01382,0.4859526,0.6633797,0.5321484,14.91524,10.29862,18.13309
11.23919,0.02745162,1.120431,-0.4072642,12.01837,0.2951801,0.737629,0.3329609,13.96871,5.436872,14.99318
11.25371,0.02707131,1.120225,-0.4077349,11.97119,0.125671,0.6936646,3.249179,11.67267,3.028504,12.4892
11.2674,0.02682199,1.120063,-0.4080892,11.94943,-0.027771,0.5435442,1.589854,11.21148,10.96843,15.76488
11.28144,0.02661669,1.120091,-0.4084046,11.94009,-0.1255188,0.3529903,0.6649464,6.960207,13.56838,15.26393
11.3027,0.02660991,1.120152,-0.4085792,11.92441,-0.197113,0.2267949,0.7378432,3.367666,5.935762,6.864317
11.32308,0.02677008,1.120134,-0.4090245,11.87753,-0.2756653,0.2541437,2.300585,3.855277,1.34226,4.685885
11.33809,0.02633415,1.119941,-0.4094827,11.89948,-0.2380371,0.3315342,1.461753,2.506734,5.155641,5.91617
11.35393,0.02663532,1.11994,-0.4095563,11.86725,-0.1735535,0.3631569,2.033458,4.068841,1.995355,4.967078
11.36983,0.02694437,1.119893,-0.4096032,11.79764,-0.03890991,0.3349358,4.379958,8.471888,1.776178,9.701119
11.3854,0.02729254,1.119803,-0.4095931,11.71854,0.09799641,0.2403755,5.079241,8.790692,6.07275,11.83018
11.40247,0.02759227,1.119682,-0.4096812,11.6799,0.235046,0.1869068,2.262987,8.027422,3.131717,8.908887
11.41975,0.02821297,1.119437,-0.4097739,11.58249,0.48228,0.164038,5.639887,14.31416,1.323395,15.44198
11.43559,0.02891538,1.119159,-0.4095913,11.45816,0.6973451,0.1145345,7.845459,13.57117,3.123548,15.98388
11.45102,0.02929221,1.118811,-0.4095343,11.28436,0.9155175,0.02485213,11.26259,14.13821,5.812249,18.98729
11.46685,0.02991208,1.118076,-0.4094643,10.93085,1.21168,0.09848393,22.33464,18.71113,4.651958,29.50564
11.48676,0.03001897,1.117891,-0.409465,10.8313,1.371295,0.002824401,4.999712,8.016513,4.805058,10.59954
11.50314,0.03002589,1.117608,-0.4095087,10.75616,1.46859,0.006780716,4.587399,5.940462,0.2415568,7.509439
11.51875,0.03014398,1.116751,-0.4093333,10.42804,1.637162,0.04064566,21.01539,10.79649,2.168945,23.72584
11.54314,0.03007721,1.116386,-0.4091496,10.25345,1.589873,0.2070174,7.1588,1.939546,6.821782,10.07705
11.55889,0.02995318,1.115894,-0.4090039,10.18027,1.479763,0.433748,4.646724,6.991401,14.39653,16.66529
11.57512,0.02976511,1.115255,-0.4088431,10.09787,1.326946,0.6310339,5.077276,9.417406,12.15662,16.19413
11.59179,0.02962738,1.114597,-0.4087299,10.01688,1.159855,0.8107506,4.858859,10.02346,10.78132,15.5021
11.60734,0.02933001,1.113308,-0.408393,9.841949,0.9185289,1.0292,11.25301,15.52491,14.05281,23.77256
11.62631,0.02918568,1.112471,-0.4081588,9.77713,0.7565666,1.048158,3.415306,8.533441,0.9988945,9.245632
11.6425,0.02897953,1.111914,-0.4080264,9.684784,0.6071481,1.092575,5.703717,9.228486,2.743388,11.19033
11.65792,0.02876907,1.111525,-0.407886,9.675323,0.4576719,1.188897,0.6138614,9.69901,6.250046,11.55468
11.6749,0.02856134,1.111683,-0.4075978,9.647461,0.2893835,1.329443,1.64098,9.910582,8.277522,13.01652
11.69065,0.02831723,1.111916,-0.4072145,9.791229,0.09859414,1.434294,9.125977,12.11115,6.655609,16.56081
11.70769,0.02774327,1.113113,-0.4064143,10.04831,-0.2105713,1.548038,15.08495,18.14169,6.674273,24.51984
11.72453,0.02725781,1.114618,-0.4060166,10.41193,-0.3909912,1.642404,21.59492,10.715,5.604334,24.74996
11.74037,0.02679763,1.115722,-0.4055728,10.81735,-0.5900879,1.789067,25.58652,12.56503,9.255959,29.97036
11.75642,0.02652673,1.116328,-0.4051966,11.15109,-0.7878723,1.951849,20.802,12.32788,10.14615,26.22297
11.77275,0.02625329,1.11684,-0.4050001,11.27158,-1.008179,2.275303,7.377716,13.49031,19.80653,25.07424
11.78873,0.02571366,1.117509,-0.4043863,11.60385,-1.485901,2.8318,20.78979,29.89009,34.81884,50.37841
11.80595,0.02548543,1.117472,-0.4042425,11.57971,-1.738861,3.029672,1.40155,14.68704,11.48858,18.69923
11.82271,0.02520053,1.117739,-0.4040242,11.59409,-1.880432,3.117604,0.8578258,8.448947,5.247809,9.982988
11.83996,0.02522867,1.117804,-0.4037677,11.82639,-2.04068,3.218501,13.46437,9.288155,5.848087,17.37122
11.85566,0.0253934,1.117393,-0.4038139,11.85532,-2.170929,3.330775,1.843461,8.299465,7.154062,11.11126
11.87166,0.02520671,1.117552,-0.4036224,11.6969,-2.257904,3.442834,9.899405,5.435042,7.002548,13.2881
11.8873,0.02539197,1.116598,-0.4037752,11.33762,-2.400299,3.479074,22.97591,9.106056,2.317543,24.82305
11.90407,0.02619488,1.114599,-0.4045822,10.97876,-2.367035,3.251381,21.38972,1.982719,13.57162,25.40945
11.92047,0.02650954,1.114072,-0.4048848,10.70044,-2.285858,2.978104,16.97632,4.951428,16.66919,24.30173
11.93709,0.02682909,1.113479,-0.4052084,10.45358,-2.178772,2.638617,14.85498,6.444075,20.42858,26.06767
11.95294,0.02712503,1.11309,-0.4055536,10.24463,-2.019531,2.240872,13.18236,10.04609,25.09211,30.07179
11.96973,0.02745062,1.112923,-0.4057919,10.12497,-1.852448,1.853357,7.125447,9.949458,23.07547,26.11975
11.98621,0.02807553,1.112478,-0.4063343,9.913208,-1.579407,1.282942,12.85297,16.57236,34.62098,40.47782
