Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
video,v1,v2,True,True,5.476751501738402,39.0,two-sided,2.7573072222871683e-06,1.654384333372301e-05,holm,6623.878,0.6265402679639247
video,v1,v3,True,True,3.8523060561435396,39.0,two-sided,0.000424742438807062,0.001698969755228248,holm,65.693,0.39081503391526934
video,v1,v4,True,True,11.228466689821193,39.0,two-sided,8.704130716222836e-14,8.704130716222836e-13,holm,8.607e+10,1.347713416820722
video,v1,v5,True,True,6.199647061939973,39.0,two-sided,2.7350254321894396e-07,2.1880203457515516e-06,holm,5.716e+04,0.7199258152993642
video,v2,v3,True,True,-1.698802753736721,39.0,two-sided,0.09732165526290369,0.19464331052580738,holm,0.634,-0.21434763604844043
video,v2,v4,True,True,5.810814526776553,39.0,two-sided,9.485196501762338e-07,6.6396375512336365e-06,holm,1.788e+04,0.8389250733401934
video,v2,v5,True,True,1.298466028333609,39.0,two-sided,0.2017531393193997,0.2017531393193997,holm,0.371,0.16621152098504482
video,v3,v4,True,True,6.646064867754207,39.0,two-sided,6.584408949964383e-08,5.925968054967945e-07,holm,2.175e+05,0.9836141374081186
video,v3,v5,True,True,2.9942262155094856,39.0,two-sided,0.004759048460539587,0.014277145381618759,holm,7.732,0.3493685638566453
video,v4,v5,True,True,-5.258200358600405,39.0,two-sided,5.528740470572578e-06,2.764370235286289e-05,holm,3474.996,-0.6072244023617487
