Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
15.90896,0,0,0,0,0,0,0,0,0,0
15.92896,-0.009233639,1.089703,-0.08292668,0.2579346,-3.988342,-1.91571,12.89643,199.4126,95.78333,221.599
15.94463,-0.008745914,1.091066,-0.08257138,1.052704,-4.201721,-2.084076,50.71048,13.6147,10.74261,53.59399
15.9578,-0.008592723,1.091808,-0.08233772,1.501709,-4.249634,-2.139557,34.09486,3.638207,4.212904,34.54627
15.97598,-0.008440645,1.09211,-0.0822695,1.817688,-4.344452,-2.11969,17.38707,5.217464,1.093199,18.18591
16.00355,-0.008259218,1.092658,-0.08248255,1.960846,-4.523987,-2.112885,5.191852,6.511119,0.2468094,8.331321
16.0177,-0.007890314,1.093451,-0.08303244,2.272064,-4.862671,-2.127686,21.99326,23.93422,1.045963,32.52145
16.04186,-0.00766322,1.094079,-0.08321659,2.396576,-5.080231,-2.13031,5.153142,9.004105,0.1086201,10.375
16.0565,-0.007343467,1.094634,-0.08353283,2.694641,-5.280029,-2.103149,20.35852,13.64669,1.855133,24.57932
16.07325,-0.006960737,1.095331,-0.08387355,3.047852,-5.45697,-2.082123,21.08917,10.56463,1.255438,23.62077
16.08701,-0.006509092,1.096183,-0.08427574,3.520752,-5.585236,-2.109924,34.37349,9.323167,2.020796,35.67271
16.1011,-0.006056283,1.096925,-0.08497924,3.996063,-5.672668,-2.167572,33.74408,6.207177,4.09262,34.55346
16.11483,-0.005563054,1.097643,-0.08560999,4.377502,-5.870209,-2.108765,27.7717,14.38245,4.281628,31.56667
16.12901,-0.005150037,1.098319,-0.08638634,4.830841,-6.047607,-2.230682,31.97632,12.51285,8.599489,35.39785
16.14383,-0.004710672,1.099303,-0.08698162,5.347565,-6.260925,-2.288666,34.85295,14.38827,3.910974,37.90839
16.15826,-0.004229436,1.100098,-0.08777939,5.93515,-6.396851,-2.381195,40.71689,9.41898,6.411842,42.28113
16.1729,-0.003639651,1.100775,-0.08849913,6.383301,-6.51004,-2.583405,30.60969,7.73111,13.81136,34.45979
16.18739,-0.003143774,1.101398,-0.08932157,6.769257,-6.635986,-2.695221,26.64279,8.69414,7.718762,29.06898
16.20245,-0.002589785,1.101763,-0.09009682,7.131744,-6.774445,-2.858704,24.06585,9.192351,10.85374,27.95475
16.21685,-0.002228167,1.102212,-0.09092176,7.423218,-6.823883,-3.04007,20.24321,3.433567,12.59611,24.08815
16.2316,-0.001736863,1.10259,-0.09164679,7.755035,-6.943481,-3.252258,22.49392,8.107577,14.38428,27.90371
16.24632,-0.001278443,1.102811,-0.09237319,8.01889,-7.019623,-3.420959,17.92614,5.172995,11.46145,21.89683
16.2612,-0.0007730592,1.103188,-0.09308767,8.130951,-7.041656,-3.620972,7.533274,1.481216,13.44583,15.48336
16.27595,-9.347498E-05,1.10331,-0.09374882,8.287994,-7.094177,-3.871307,10.64873,3.561304,16.97465,20.35233
16.29096,0.0004504696,1.10348,-0.09438985,8.354675,-7.066101,-4.138916,4.442185,1.870394,17.8277,18.46776
16.30605,0.001777641,1.103432,-0.09567292,8.495483,-7.088623,-4.574432,9.329458,1.492228,28.85581,30.36319
16.32092,0.002607783,1.103077,-0.09617338,8.286957,-7.034393,-4.757385,14.0272,3.647934,12.3069,19.01393
16.33599,0.003282802,1.10255,-0.09680013,8.07782,-7.00116,-4.871185,13.87247,2.204453,7.548583,15.94635
16.35163,0.00392204,1.102394,-0.09731901,7.820129,-7.049622,-4.756775,16.48012,3.099293,7.316906,18.29582
16.36601,0.004354391,1.102448,-0.09783845,7.779694,-7.173645,-4.520538,2.810553,8.620442,16.41999,18.75706
16.38304,0.00471019,1.102841,-0.09836143,7.877441,-7.313812,-4.391296,5.741429,8.233027,7.591306,12.5847
16.39703,0.004964819,1.103151,-0.09897943,8.028107,-7.455353,-4.34967,10.76625,10.11422,2.974513,15.06842
16.41328,0.005266599,1.103391,-0.09955114,8.229736,-7.638275,-4.293427,12.40751,11.25634,3.461033,17.10644
16.42498,0.005264537,1.103818,-0.1003551,8.488922,-7.930878,-4.172089,22.15686,25.01353,10.37274,34.98853
16.43995,0.005142104,1.104542,-0.1010581,8.832611,-8.359436,-4.090546,22.96902,28.64092,5.449586,37.11572
16.45502,0.004959771,1.105173,-0.1019873,9.270233,-8.853699,-4.129791,29.02834,32.78542,2.603239,43.86691
16.47304,0.004862474,1.10569,-0.1028906,9.578003,-9.378876,-4.242157,17.08417,29.15236,6.237374,34.36035
16.48935,0.004629083,1.106277,-0.1037796,9.932617,-9.867645,-4.372223,21.73232,29.95395,7.971011,37.8559
16.50863,0.003849139,1.108047,-0.1056443,10.73563,-10.90598,-4.619934,41.65097,53.85675,12.84844,69.28517
16.53012,0.003014081,1.109196,-0.1076834,11.79556,-12.24832,-5.369751,49.33523,62.48011,34.90057,86.92399
16.54658,0.002947271,1.109587,-0.1087435,12.06006,-12.75394,-5.716644,16.06674,30.71347,21.07195,40.56458
16.56113,0.002605224,1.11067,-0.1098787,12.01193,-12.99246,-6.047821,3.308247,16.39649,22.76544,28.24986
16.57758,0.002485072,1.110794,-0.110326,12.70856,-13.54535,-6.101563,42.33592,33.60056,3.266025,54.1479
16.59403,0.002285169,1.111297,-0.1112023,13.23434,-14.11282,-6.144165,31.96846,34.50307,2.590282,47.10789
16.60912,0.001999283,1.111703,-0.1120989,13.57925,-14.66217,-6.107239,22.84963,36.39323,2.446298,43.04134
16.62964,0.00138889,1.112565,-0.1137037,14.19006,-15.69333,-6.12204,29.77038,50.25788,0.7213907,58.4179
16.64446,0.001012165,1.112817,-0.1144349,14.4328,-16.07596,-6.071289,16.37468,25.81163,3.423572,30.7586
16.66121,0.0004452551,1.113342,-0.1151242,14.69519,-16.57291,-5.891602,15.67369,29.68486,10.73351,35.24292
16.67762,-0.001041318,1.114502,-0.1166495,15.33859,-17.5751,-5.782288,39.19684,61.05508,6.65954,72.85921
16.69629,-0.001658464,1.114761,-0.1173428,15.60931,-18.08237,-5.789612,14.5025,27.17401,0.3923572,30.80427
16.71263,-0.002036199,1.115044,-0.1180163,15.79227,-18.5813,-5.742706,11.19645,30.53391,2.87055,32.64843
16.72887,-0.003449303,1.115673,-0.1194789,16.18472,-19.48907,-5.644073,24.1559,55.87415,6.070909,61.17421
16.75082,-0.004146744,1.115918,-0.1200613,16.41431,-19.92654,-5.614044,10.46132,19.93395,1.36833,22.5538
16.76819,-0.004988132,1.116571,-0.1207275,16.62891,-20.34338,-5.532532,12.35717,24.00264,4.693685,27.40177
16.78538,-0.006361322,1.117347,-0.1219304,17.15509,-21.35876,-5.3797,30.60823,59.06491,8.890269,67.11605
16.80658,-0.007390592,1.117425,-0.1227684,17.37125,-21.78259,-5.203674,10.19412,19.98813,8.30152,23.92406
16.82353,-0.008234615,1.117653,-0.1233759,17.47055,-22.32507,-5.150116,5.860423,32.01441,3.160738,32.6995
16.84079,-0.009308955,1.117916,-0.1241024,17.64368,-22.836,-5.014679,10.0274,29.59258,7.844454,32.21498
16.85676,-0.01031771,1.118098,-0.12485,17.90741,-23.39468,-4.872223,16.51601,34.9871,8.921165,39.70469
16.87371,-0.01240162,1.118539,-0.1264047,18.26566,-24.41638,-4.808624,21.12994,60.26145,3.751153,63.96864
16.89009,-0.01322806,1.118586,-0.1270394,18.3338,-24.99768,-4.67334,4.160708,35.49179,8.259928,36.67704
16.90757,-0.01398849,1.118538,-0.1276993,18.29437,-25.20206,-4.795959,2.255784,11.69271,7.015277,13.82108
16.92394,-0.01455014,1.118409,-0.1281448,18.31058,-25.29999,-4.797211,0.9900944,5.983452,0.07644796,6.065297
16.9442,-0.01497793,1.118373,-0.1285675,18.28409,-25.36548,-4.603302,1.307598,3.232841,9.57198,10.18744
16.95836,-0.01598265,1.118434,-0.1295597,18.38571,-25.74066,-4.236969,7.173825,26.48499,25.86024,37.70504
16.97433,-0.01640814,1.118319,-0.1300014,18.38712,-25.76321,-4.127747,0.08789109,1.411989,6.838309,6.983116
16.99199,-0.0166463,1.118122,-0.1302547,18.31534,-25.69067,-4.068298,4.065248,4.108459,3.366966,6.688956
17.00804,-0.01692086,1.11805,-0.1304218,18.25858,-25.52765,-4.022003,3.537383,10.15952,2.885059,11.13788
17.02457,-0.01704613,1.118424,-0.1305056,18.31818,-25.36935,-3.965027,3.604984,9.574527,3.446239,10.79556
17.04195,-0.01747254,1.118796,-0.1306656,18.58722,-25.02423,-3.980591,15.47855,19.85559,0.8954241,25.1919
17.05857,-0.01725954,1.118695,-0.1307352,18.74448,-24.61234,-4.149475,9.46047,24.77935,10.15995,28.40319
17.07622,-0.01754784,1.11853,-0.1311361,18.74295,-24.17606,-4.248352,0.08647714,24.72554,5.603718,25.35275
17.09259,-0.01713301,1.118232,-0.1312078,18.60898,-23.60016,-4.404785,8.185526,35.18658,9.55786,37.36911
17.11024,-0.01642225,1.117952,-0.1310778,18.40878,-22.42654,-4.691833,11.33845,66.46992,16.25753,69.36222
